Id,Label,timeset,indegree,outdegree,degree,modularity_class,clustering,eigencentrality,weighted indegree,weighted outdegree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,componentnumber,pageranks
n328,lib/HomePage.pod,,3,1,4,95,0.333333,0.000615,5,1,6,6,0.324815,0.343139,6.563743,0,0.000393
n329,lib/Language/terms.pod,,16,11,27,80,0.260684,0.011455,28,13,41,6,0.356504,0.397662,1268.117626,0,0.000826
n330,lib/Pod/Convenience.pm6,,12,2,14,95,0.208791,0.001699,19,2,21,5,0.342846,0.368187,5060.573007,0,0.001262
n331,lib/Language/Sets_Bags_and_Mixes.pod,,2,95,97,80,0.392612,0.070056,3,97,100,6,0.366332,0.436621,8861.758999,0,0.001379
n332,lib/Language/classtut.pod,,4,13,17,80,0.334559,0.006023,4,24,28,6,0.353629,0.390061,418.054889,0,0.00064
n333,lib/Language/containers.pod,,6,15,21,80,0.32381,0.006185,8,27,35,6,0.355348,0.393862,746.369679,0,0.000766
n334,lib/Language/glossary.pod,,6,8,14,80,0.478022,0.003318,8,14,22,6,0.339134,0.368871,2.64572,0,0.000607
n335,lib/Language/modules.pod,,8,6,14,80,0.478022,0.003318,11,11,22,6,0.339134,0.368871,2.64572,0,0.000607
n336,lib/Language/objects.pod,,11,101,112,80,0.31258,0.075697,25,114,139,6,0.382802,0.456024,15262.620217,0,0.001677
n337,lib/Language/operators.pod,,14,14,28,80,0.202381,0.008244,24,21,45,6,0.356649,0.398233,3593.869786,0,0.001094
n338,lib/Language/regexes.pod,,12,8,20,80,0.318421,0.008589,24,11,35,6,0.3542,0.391961,505.926649,0,0.000671
n339,lib/Language/variables.pod,,25,5,30,80,0.183908,0.007745,41,5,46,5,0.365264,0.404295,6622.861717,0,0.001283
